feature,imp
CMWH,0.27641993609264986
Hour,0.1559561340581434
Month,0.11588155943258269
Latitude,0.1050435095286194
Rainfall,0.09819494342580606
EntryHeading,0.09578785715244169
Longitude,0.08961732884561202
EntryStreetName,0.08699496387365405
Intersection,0.08347920452484783
IntersectionCount,0.07485131382432547
ExitStreetName,0.06889122117794158
EntryStreetNameCount,0.06755467263906764
ExitStreetNameCount,0.066682658260659
ExitHeading,0.06238203686197999
Longitude3Count,0.058298810944347676
Latitude3Count,0.056850641477078495
Temperature,0.05645455529555318
CenterDistL1,0.046260668905479974
CenterDistL2,0.04315563995418899
LatitudeDist,0.03986000339981662
LongitudeDist,0.03825061722649272
ExitStreetNameUniqueIntersections,0.030294712261342463
DiffHeading,0.027022933501554425
Longitude3,0.026967727268027854
Latitude3UniqueIntersections,0.024186309151992248
Longitude3UniqueIntersections,0.022315506559230168
Latitude3,0.021985895440870547
Weekend,0.02186702962258369
EntryType,0.012866120839964407
SameStreet,0.01019445073488031
ExitType,0.009370592012259302
City,0.0033983214317738885
EntryStreetMissing,0.001816129282239624
ExitStreetMissing,0.0008459949919926762
